DOY,time,temperature,humidity,pressure,windspeed,cloudCoverTotal,attenuation
30.0,14.0,18.3,78.0,1015.0,4.6,804.0,0.712686567164
30.0,15.0,18.3,78.0,1015.0,5.7,667.0,0.67616191904
30.0,16.0,18.3,70.0,1015.0,5.2,469.0,0.61407249467
30.0,17.0,17.8,78.0,1015.0,4.1,223.0,0.470852017937
30.0,18.0,15.6,87.0,1016.0,3.6,16.0,0.8125
31.0,8.0,12.2,57.0,1018.0,2.6,164.0,0.268292682927
31.0,9.0,11.7,100.0,1019.0,1.5,417.0,0.218225419664
31.0,10.0,13.3,96.0,1019.0,2.6,629.0,0.634340222576
31.0,11.0,16.7,70.0,1018.0,3.1,782.0,0.56905370844
31.0,12.0,18.3,61.0,1017.0,3.1,866.0,0.603926096998
31.0,13.0,20.0,63.0,1016.0,2.1,875.0,0.649142857143
31.0,14.0,18.9,76.0,1015.0,5.2,809.0,0.669962917182
31.0,15.0,18.3,78.0,1015.0,4.1,672.0,0.639880952381
31.0,16.0,17.2,84.0,1015.0,5.2,474.0,0.542194092827
31.0,17.0,15.6,90.0,1015.0,3.6,228.0,0.438596491228
31.0,18.0,14.4,93.0,1015.0,2.6,17.0,0.588235294118
32.0,7.0,10.0,89.0,1015.0,2.1,2.0,1.0
32.0,8.0,11.1,90.0,1015.0,0.0,166.0,0.433734939759
32.0,9.0,13.9,78.0,1016.0,0.0,421.0,0.598574821853
32.0,10.0,15.6,81.0,1016.0,1.5,632.0,0.670886075949
32.0,11.0,17.2,70.0,1016.0,1.5,786.0,0.671755725191
32.0,12.0,17.2,75.0,1015.0,2.6,870.0,0.659770114943
32.0,13.0,17.2,75.0,1014.0,5.7,879.0,0.625711035267
32.0,14.0,16.7,81.0,1014.0,5.7,813.0,0.730627306273
32.0,15.0,16.1,81.0,1014.0,5.2,676.0,0.618343195266
32.0,16.0,16.1,81.0,1014.0,4.6,478.0,0.55230125523
