,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,visibility,windBearing,windSpeed,timezone
2016-03-25 20:59:00-07:00,13.3595,0.0,9.187166666666666,0.7593333333333333,,311.01116666666667,0.0,0.0,1016.1265,,13.3595,16.09,310.93333333333334,3.9735,
2016-03-25 21:00:00-07:00,13.34,0.0,9.18,0.76,clear-night,311.01,0.0,0.0,1016.13,Clear,13.34,16.09,311.0,3.97,America/Los_Angeles
2016-03-25 21:01:00-07:00,13.327833333333333,0.0,9.1755,0.7603333333333333,,311.005,0.0,0.0,1016.1341666666667,,13.327833333333333,16.09,311.05,3.9690000000000003,
2016-03-25 21:02:00-07:00,13.315666666666667,0.0,9.171,0.7606666666666667,,311.0,0.0,0.0,1016.1383333333333,,13.315666666666667,16.09,311.1,3.968,
2016-03-25 21:03:00-07:00,13.3035,0.0,9.1665,0.761,,310.995,0.0,0.0,1016.1425,,13.3035,16.09,311.15,3.967,
2016-03-25 21:04:00-07:00,13.291333333333332,0.0,9.161999999999999,0.7613333333333333,,310.99,0.0,0.0,1016.1466666666666,,13.291333333333332,16.09,311.2,3.966,
2016-03-25 21:05:00-07:00,13.279166666666667,0.0,9.1575,0.7616666666666667,,310.985,0.0,0.0,1016.1508333333334,,13.279166666666667,16.09,311.25,3.9650000000000003,
2016-03-25 21:06:00-07:00,13.267,0.0,9.153,0.762,,310.98,0.0,0.0,1016.155,,13.267,16.09,311.3,3.9640000000000004,
2016-03-25 21:07:00-07:00,13.254833333333334,0.0,9.1485,0.7623333333333333,,310.97499999999997,0.0,0.0,1016.1591666666667,,13.254833333333334,16.09,311.35,3.963,
2016-03-25 21:08:00-07:00,13.242666666666667,0.0,9.144,0.7626666666666667,,310.96999999999997,0.0,0.0,1016.1633333333333,,13.242666666666667,16.09,311.4,3.962,
2016-03-25 21:09:00-07:00,13.2305,0.0,9.1395,0.763,,310.965,0.0,0.0,1016.1675,,13.2305,16.09,311.45,3.9610000000000003,
2016-03-25 21:10:00-07:00,13.218333333333334,0.0,9.135,0.7633333333333333,,310.96,0.0,0.0,1016.1716666666666,,13.218333333333334,16.09,311.5,3.96,
2016-03-25 21:11:00-07:00,13.206166666666666,0.0,9.1305,0.7636666666666667,,310.955,0.0,0.0,1016.1758333333333,,13.206166666666666,16.09,311.55,3.959,
2016-03-25 21:12:00-07:00,13.193999999999999,0.0,9.126,0.764,,310.95,0.0,0.0,1016.18,,13.193999999999999,16.09,311.6,3.958,
2016-03-25 21:13:00-07:00,13.181833333333334,0.0,9.1215,0.7643333333333333,,310.945,0.0,0.0,1016.1841666666667,,13.181833333333334,16.09,311.65,3.9570000000000003,
2016-03-25 21:14:00-07:00,13.169666666666666,0.0,9.116999999999999,0.7646666666666667,,310.94,0.0,0.0,1016.1883333333333,,13.169666666666666,16.09,311.7,3.9560000000000004,
2016-03-25 21:15:00-07:00,13.157499999999999,0.0,9.1125,0.765,,310.935,0.0,0.0,1016.1925,,13.157499999999999,16.09,311.75,3.955,
2016-03-25 21:16:00-07:00,13.145333333333333,0.0,9.108,0.7653333333333333,,310.93,0.0,0.0,1016.1966666666667,,13.145333333333333,16.09,311.8,3.954,
2016-03-25 21:17:00-07:00,13.133166666666666,0.0,9.1035,0.7656666666666667,,310.925,0.0,0.0,1016.2008333333333,,13.133166666666666,16.09,311.85,3.9530000000000003,
2016-03-25 21:18:00-07:00,13.121,0.0,9.099,0.766,,310.91999999999996,0.0,0.0,1016.205,,13.121,16.09,311.9,3.952,
2016-03-25 21:19:00-07:00,13.108833333333333,0.0,9.0945,0.7663333333333333,,310.91499999999996,0.0,0.0,1016.2091666666666,,13.108833333333333,16.09,311.95,3.951,
2016-03-25 21:20:00-07:00,13.096666666666666,0.0,9.09,0.7666666666666667,,310.90999999999997,0.0,0.0,1016.2133333333334,,13.096666666666666,16.09,312.0,3.95,
2016-03-25 21:21:00-07:00,13.0845,0.0,9.0855,0.767,,310.905,0.0,0.0,1016.2175,,13.0845,16.09,312.05,3.9490000000000003,
